slug	file_commons	autore	licenza	url	note
ramen					preesistente: sorgente images/chuka_soba.jpg (crediti non documentati in images/CREDITS.md)
yakitori	File:BEST YAKITORI in local Japan.jpg	Yoshiko Kikuraku	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:BEST_YAKITORI_in_local_Japan.jpg	preesistente: sorgente images/yakitori.jpg; ritagliata sugli spiedini
omurice	File:Omurice 001.jpg	Ocdp	CC0	https://commons.wikimedia.org/wiki/File:Omurice_001.jpg	preesistente: sorgente images/omurice.jpg
kushikatsu					preesistente: sorgente images/kushikatsu.jpg (crediti non documentati)
kobe-beef					preesistente: sorgente images/kobe_beef.jpg (crediti non documentati)
tsukemen					preesistente: sorgente images/tsukemen.jpg (crediti non documentati)
tonkatsu					preesistente: sorgente images/tonkatsu.jpg (crediti non documentati)
katsu-curry					preesistente: sorgente images/katsu_curry.jpg (crediti non documentati)
kaisendon	File:Kaisendon (15650467898).jpg	Jun Seita from Palo Alto, CA, U.S.	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Kaisendon_(15650467898).jpg	preesistente: sorgente images/sushi.jpg
gyoza	File:Japanese pan fried gyoza.jpg	Adryan R. Villanueva	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Japanese_pan_fried_gyoza.jpg	preesistente: sorgente images/gyoza.jpg
nikuman					preesistente: sorgente images/nikuman.jpg (crediti non documentati)
kinshi-don	File:KinshiDonburi Kyogoku Kaneyo.jpg	Kykk wiki	CC0	https://commons.wikimedia.org/wiki/File:KinshiDonburi_Kyogoku_Kaneyo.jpg	proprio la kinshi-don di Kyogoku Kaneyo (Kyoto), vista dall'alto
takoyaki	File:Takoyaki is served; November 2010.jpg	gaku.	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Takoyaki_is_served;_November_2010.jpg	
sukiyaki	File:Sukiyaki (7320145438).jpg	pelican from Tokyo, Japan	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Sukiyaki_(7320145438).jpg	ritagliata
curry-rice-egg	File:Jiyuken curry rice 20100320.jpg	LoveIsAroundTheWorld	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Jiyuken_curry_rice_20100320.jpg	proprio il meibutsu curry di Jiyuken; ritagliata escludendo la scritta Kansai 2010
korokke	File:Potato croquettes 001.jpg	Ocdp	CC0	https://commons.wikimedia.org/wiki/File:Potato_croquettes_001.jpg	korokke su piatto (non da macelleria); ritagliata
fugu	File:Fugu-no-Sashimi(Totafugu).JPG	Qwert1234	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Fugu-no-Sashimi(Totafugu).JPG	tessa a petali; ritagliata
akashiyaki	File:Akashi-yaki at Akashi01s.jpg	663highland	CC BY 2.5	https://commons.wikimedia.org/wiki/File:Akashi-yaki_at_Akashi01s.jpg	con ciotole di brodo, su tagliere laccato rosso
ekiben	File:とちぎ和牛旨とろ煮込み飯（宇都宮駅）20260120-P1078872.jpg	くろふね	CC BY 4.0	https://commons.wikimedia.org/wiki/File:とちぎ和牛旨とろ煮込み飯（宇都宮駅）20260120-P1078872.jpg	ekiben di manzo (wagyu di Tochigi, stazione di Utsunomiya); ritagliata
menchi-katsu	File:牛カツ京都勝牛 牛サーロインカツとメンチカツ膳.jpg	RuinDig/Yuki Uchida	CC BY 4.0	https://commons.wikimedia.org/wiki/File:牛カツ京都勝牛_牛サーロインカツとメンチカツ膳.jpg	ritaglio stretto sulla menchi katsu tagliata (dal set di Kyoto Katsugyu); risoluzione un po' al limite
gyukatsu	File:牛カツ京都勝牛の和牛カツ.jpg	Gourmet police	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:牛カツ京都勝牛の和牛カツ.jpg	gyukatsu al sangue di Kyoto Katsugyu (senza pietra rovente in foto); ritagliata
hamburg-steak	File:Hamburg-Steak.jpg	MaedaAkihiko	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Hamburg-Steak.jpg	su piastra di ghisa con base di legno
tonkotsu-ramen	File:Tonkotsu ramen in Tokyo.jpg	Syced	CC0	https://commons.wikimedia.org/wiki/File:Tonkotsu_ramen_in_Tokyo.jpg	
yakiniku	File:Kashiraniku 001.jpg	Ocdp	CC0	https://commons.wikimedia.org/wiki/File:Kashiraniku_001.jpg	carne (kashira di maiale) sulla griglia a carbone al tavolo
shabu-shabu	File:Tajima Beef Shabu-Shabu Hot Pot (25519259666).jpg	Nishimuraya Kinosaki Onsen	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Tajima_Beef_Shabu-Shabu_Hot_Pot_(25519259666).jpg	fettina di manzo Tajima nella pentola di brodo
nigiri-omakase	File:Shichifuku Nigiri Sushi at Tsukiji Tamasushi, Wing Takanawa (20230802203124).jpg	N509FZ	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Shichifuku_Nigiri_Sushi_at_Tsukiji_Tamasushi,_Wing_Takanawa_(20230802203124).jpg	set di nigiri su piatto (Tsukiji Tamasushi), non al bancone; ritagliata
chashu-egg	File:Yakibuta tamago meshi 20250924.jpg	Misei sen	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Yakibuta_tamago_meshi_20250924.jpg	yakibuta tamago meshi: chashu a fette con due uova al tegamino
