slug	file_commons	autore	licenza	url	note
kyoto-station					preesistente (images/kyoto_station.jpg)
yasaka-pagoda	Yasaka-dori early morning with street lanterns and the Tower of Yasaka (Hokan-ji Temple), Kyoto, Japan.jpg	Basile Morin	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Yasaka-dori_early_morning_with_street_lanterns_and_the_Tower_of_Yasaka_(Hokan-ji_Temple),_Kyoto,_Japan.jpg	
yasaka-shrine	Nishiromon Gate, Yasaka Shrine, Kyoto, 20240820 1721 5183.jpg	Jakub Hałun	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Nishiromon_Gate,_Yasaka_Shrine,_Kyoto,_20240820_1721_5183.jpg	porta Nishiro-mon
sanjusangendo	Sanjusangendo temple01s1408.jpg	663highland	CC BY 2.5	https://commons.wikimedia.org/wiki/File:Sanjusangendo_temple01s1408.jpg	
fushimi-sake	Gekkeikan Okura Sake Museum01nt3200.jpg	663highland	CC BY 2.5	https://commons.wikimedia.org/wiki/File:Gekkeikan_Okura_Sake_Museum01nt3200.jpg	Gekkeikan Okura Sake Museum
kodaiji	Kōdaiji Temple bamboo (51473114848).jpg	Raita Futo from Tokyo, Japan	CC BY 2.0	https://commons.wikimedia.org/wiki/File:K%C5%8Ddaiji_Temple_bamboo_(51473114848).jpg	bambuseto del tempio
osaka-castle	Osaka Castle 2022-04-23.jpg	Dick Thomas Johnson	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Osaka_Castle_2022-04-23.jpg	
shinsaibashi-suji	Shinsaibashisuji Gate Night View 201407.jpg	Wing1990hk	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Shinsaibashisuji_Gate_Night_View_201407.jpg	ingresso della galleria (lato Ebisubashi), sera
amerikamura	Amerikamura 2014.jpg	Wpcpey	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Amerikamura_2014.jpg	dubbia: veduta generica di una via del quartiere, nessun simbolo iconico
hozenji-yokocho	Hozenji Yokocho at night.jpg	Choi2451	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Hozenji_Yokocho_at_night.jpg	vicolo di sera
umeda-sky	Umeda Sky Building, Osaka, November 2016 -01.jpg	Martin Falbisoner	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Umeda_Sky_Building,_Osaka,_November_2016_-01.jpg	Floating Garden vista dal basso
dotonbori					preesistente (images/dotonbori.jpg)
toji	Japan 2006 - Kyoto - Toji Pagoda.JPG	Simone Urbinati (Urby2004)	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Japan_2006_-_Kyoto_-_Toji_Pagoda.JPG	preesistente (images/toji.jpg), crediti già in images/CREDITS.md
ninnaji	Ninna ji Niomon.jpg	Hyppolyte de Saint-Rambert	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Ninna_ji_Niomon.jpg	porta Nio-mon
ryoanji	RyoanJi-Dry garden.jpg	Stephane D'Alu	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:RyoanJi-Dry_garden.jpg	
nijo-castle	Kyoto, castello nijo, porta karamon, 01.jpg	Sailko	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Kyoto,_castello_nijo,_porta_karamon,_01.jpg	porta Kara-mon
sanjokai	三条商店街 (1563905141).jpg	ketou-daisuki from Kyoto, japansko	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:%E4%B8%89%E6%9D%A1%E5%95%86%E5%BA%97%E8%A1%97_(1563905141).jpg	categoria Commons 'Kyoto Sanjo Shopping Street' (Nakagyo)
manga-museum	Kyoto International Manga Museum 20091229.jpg	Banzai Hiroaki	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Kyoto_International_Manga_Museum_20091229.jpg	edificio dell'ex scuola Tatsuike, inverno
nishiki					preesistente (images/nishiki.jpg)
minamiza	Kabuki Minamiza Kaomise.jpg	Conveyor belt sushi	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Kabuki_Minamiza_Kaomise.jpg	con le tavole maneki del Kaomise; originale solo 1024 px, usata anteprima 960 px
gion	Hanamikoji Dori.jpg	Christophe95	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Hanamikoji_Dori.jpg	Hanamikoji-dori
pontocho	Pontocho Alley, Kyoto (52450102682).jpg	Sergiy Galyonkin from Raleigh, USA	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Pontocho_Alley,_Kyoto_(52450102682).jpg	
den-den-town	Den-Den Town, Nipponbashi, Osaka - Jul 12, 2023.jpg	Clemens Vasters	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Den-Den_Town,_Nipponbashi,_Osaka_-_Jul_12,_2023.jpg	Sakaisuji a Nipponbashi
tsutenkaku	Shinsekai and Tsutenkaku Tower.jpg	Sakai Yayoi	CC0	https://commons.wikimedia.org/wiki/File:Shinsekai_and_Tsutenkaku_Tower.jpg	Shinsekai di sera
janjan-yokocho	Janjan-Yokocho Shopping Street 20190203.jpg	そらみみ	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Janjan-Yokocho_Shopping_Street_20190203.jpg	
himeji					preesistente (images/himeji.jpg)
kokoen	Himeji Koukoen32n4592.jpg	663highland	CC BY 2.5	https://commons.wikimedia.org/wiki/File:Himeji_Koukoen32n4592.jpg	autunno
uonotana	Uonotana shopping arcade, Akashi, Hyogo 2021-11-28.jpg	m-louis .®	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Uonotana_shopping_arcade,_Akashi,_Hyogo_2021-11-28.jpg	
akashi-castle	Akashi castle.jpg	Drivephotographer	CC0	https://commons.wikimedia.org/wiki/File:Akashi_castle.jpg	una sola torre in primo piano (la vista con entrambe le torri avrebbe reso la miniatura illeggibile)
meriken-park	Kōbe Port Tower, Meriken Park (15871783216).jpg	x768	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:K%C5%8Dbe_Port_Tower,_Meriken_Park_(15871783216).jpg	Kobe Port Tower e Museo Marittimo
