slug	file_commons	autore	licenza	url	note
famicom-cartridges	File:Famicom cartridges (5099356375).jpg	Bryan Ochalla from Seattle, WA, USA	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Famicom_cartridges_(5099356375).jpg	cartucce Famicom sciolte; ritaglio orizzontale da foto verticale (CropY 0.4)
game-boy-color	File:Nintendo-Game-Boy-Color-FL.jpg	Evan-Amos	Public domain	https://commons.wikimedia.org/wiki/File:Nintendo-Game-Boy-Color-FL.jpg	Game Boy Color viola trasparente; foto verticale su fondo bianco, allargata con margini bianchi prima del ritaglio
retro-shop-shelves	File:Akihabara - Super Potato Retro Game Shop (17243583179).jpg	IQRemix from Canada	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Akihabara_-_Super_Potato_Retro_Game_Shop_(17243583179).jpg	Super Potato Akihabara, scaffali di cartucce Famicom
manga-used	File:MangaStoreJapan.jpg	Doc Sleeve at German Wikipedia	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:MangaStoreJapan.jpg	libreria manga in Giappone (scaffali pieni); non si capisce se sia un negozio dell'usato
figures-shop	File:Mandarake (4970180671).jpg	fletcherjcm	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Mandarake_(4970180671).jpg	vetrine Mandarake con robot/figure vintage (Nakano Broadway)
switch-console	File:Nintendo-Switch-Console-Docked-wJoyConRB.jpg	Evan-Amos	Public domain	https://commons.wikimedia.org/wiki/File:Nintendo-Switch-Console-Docked-wJoyConRB.jpg	Switch nel dock con Joy-Con rosso/blu; aggiunti margini bianchi per non tagliare i lati
hhkb-keyboard	File:The lovely Happy Hacking Keyboard Lite 2 (2441150533).jpg	Blake Patterson from Alexandria, VA, USA	CC BY 2.0	https://commons.wikimedia.org/wiki/File:The_lovely_Happy_Hacking_Keyboard_Lite_2_(2441150533).jpg	HHKB Lite 2 (a membrana, non Topre) con scatola: forma e marchio HHKB ben visibili
seiko-5-sports	File:Seiko 5 Sports SNZH53K1.jpg	Daniel Zimmermann	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Seiko_5_Sports_SNZH53K1.jpg	Seiko 5 Sports SNZH53, automatico, finestrella giorno-data visibile
g-shock-dw5600	File:DW-5600E.png	Simon Le Bon	Public domain	https://commons.wikimedia.org/wiki/File:DW-5600E.png	proprio il DW-5600E, tenuto in mano e inclinato, retroilluminazione accesa
kutani-ware	File:Hanazume Japanese Teacup by MUSUBI KILN - 51501763966.jpg	MUSUBI KILN	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Hanazume_Japanese_Teacup_by_MUSUBI_KILN_-_51501763966.jpg	tazza Kutani moderna (decoro Hanazume) dipinta a colori vivaci con oro
arita-ware	File:1934.98 - Arita Ware Kakiemon Floral-shaped Bowl.jpg	Unknown author (foto museale)	CC0	https://commons.wikimedia.org/wiki/File:1934.98_-_Arita_Ware_Kakiemon_Floral-shaped_Bowl.jpg	ciotola Arita stile Kakiemon (antica, foto da museo): non ci sono foto libere adatte di Arita moderna in negozio
mashiko-ware	File:Teller - Mashiko-yaki.jpg	Fraxinus2	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Teller_-_Mashiko-yaki.jpg	piatto Mashiko-yaki smaltato bruno con decoro a cachi; foto 4:3 allargata specchiando i bordi del fondo (tessuto) per non tagliare il piatto
kiyomizu-ware	File:清水焼小売店3172115.jpg	NS-690Ⅲ	CC BY 2.5	https://commons.wikimedia.org/wiki/File:%E6%B8%85%E6%B0%B4%E7%84%BC%E5%B0%8F%E5%A3%B2%E5%BA%973172115.jpg	negozio di Kiyomizu-yaki sul Kiyomizuzaka (Kyoto): tazze da tè yunomi esposte
ramen-bowls	File:小松屋 (44705931274).jpg	Luca Sartoni from Vienna, Austria	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:%E5%B0%8F%E6%9D%BE%E5%B1%8B_(44705931274).jpg	negozio di stoviglie a Kappabashi (Komatsuya): ciotole e piatti su scaffali e bancali
depachika	File:大海老フライ (37686899324).jpg	Kent Wang from London, United Kingdom	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:%E5%A4%A7%E6%B5%B7%E8%80%81%E3%83%95%E3%83%A9%E3%82%A4_(37686899324).jpg	depachika del Takashimaya di Osaka (bancone di fritti); non trovata una foto libera di depachika con dolci confezionati. Scartata File:Depachika.jpg perché è un grande magazzino Lotte in Corea
uniqlo-ut	File:Uniqlo Ginza shop.jpg	Steve Nagata from Tokyo, Japan	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Uniqlo_Ginza_shop.jpg	ripiego: ingresso Uniqlo Ginza con logo; nessuna foto libera del reparto UT / magliette UT. Originale 800x600, un po' morbida
japan-post	File:Japan Mail Postboxes at Shinsaibashi.jpg	Tokumeigakarinoaoshima	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Japan_Mail_Postboxes_at_Shinsaibashi.jpg	cassette postali Japan Post a Shinsaibashi (Osaka): rossa con simbolo 〒 e blu per posta espressa
